Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
2,0,999919,99919,991999,999919,2,5,0,2,1,1100,9,2,2,2,1,4,2,1,2,5,2,6,2,1,0,0,1,0,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,2,8,1650,2,2,2,2,0,1,2,0,1,5,2,2,2,1,0,1,0,0,0,1,3,0
3,0,999919,99919,991999,999919,2,8,0,2,1,2550,9,2,2,1,1,4,2,1,2,5,2,2,1,1,0,0,0,1,0,0,10,1
2,1,999919,99919,991999,999919,2,13,0,2,1,975,9,2,2,2,0,3,1,1,2,8,2,4,2,1,1,1,1,0,0,0,6,0
3,0,999919,99919,991999,999919,2,13,0,2,1,3300,9,2,2,2,1,2,2,1,2,3,2,4,4,1,0,1,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,6,0,2,1,1600,9,2,2,2,1,1,2,1,2,6,2,4,4,1,0,0,0,0,0,0,10,1
1,0,999919,99919,991999,999919,2,13,1,1,9,215,2,1,2,2,1,1,2,1,2,2,2,2,1,1,0,1,0,0,0,1,6,0
1,0,999919,99919,991999,999919,2,5,0,2,1,1100,9,2,2,2,1,2,2,1,2,7,1,6,2,1,1,0,0,0,0,1,10,1
3,1,999919,99919,991999,999919,2,12,0,8,8,1675,2,2,2,2,8,8,8,8,2,9,8,2,1,1,1,1,0,1,0,0,5,0
2,1,999919,99919,991999,999919,2,12,0,2,1,1100,9,2,2,2,1,1,2,1,2,7,2,2,1,1,1,1,1,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,1,1,1839,9,2,2,2,0,1,2,1,1,8,2,2,2,1,1,0,0,0,0,0,4,0
1,1,999919,99919,991999,999919,2,11,0,2,1,99999,9,9,9,9,1,1,2,1,2,9,2,9,1,1,1,0,0,0,0,1,10,1
4,0,999919,99919,991999,999919,2,1,0,2,9,1200,9,2,2,2,1,2,2,1,1,7,2,3,1,1,1,0,0,0,0,0,6,0
4,1,999919,99919,991999,999919,2,10,0,2,1,1500,9,2,2,2,1,2,2,1,1,8,2,2,1,1,1,0,0,0,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,2,1,1800,9,2,2,2,1,2,2,0,2,6,2,4,1,1,0,1,0,1,0,0,8,1
4,0,999919,99919,991999,999919,2,3,0,8,8,1400,9,2,2,2,8,8,8,8,8,7,8,8,1,1,1,0,0,0,0,0,4,0
3,0,999919,99919,999991,999919,2,12,0,2,1,7999,9,2,2,2,0,5,2,1,2,8,3,4,2,1,1,1,0,1,0,0,7,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1900,9,2,2,2,0,3,2,1,2,7,3,4,1,1,1,0,1,0,0,0,8,1
2,1,999919,99919,991999,999919,2,8,0,8,8,1500,9,2,2,2,8,8,8,8,8,8,8,8,1,1,1,0,1,0,0,0,4,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1400,9,2,2,2,1,2,2,1,2,8,2,2,1,1,1,0,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,9,0,2,1,2100,9,2,2,2,1,3,2,1,2,6,3,2,1,1,0,0,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,13,0,2,1,1400,9,2,2,2,1,1,2,1,2,5,3,2,1,1,0,1,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,800,2,2,2,2,1,4,2,1,2,8,1,6,2,1,1,0,0,0,0,0,10,1
3,1,999919,99919,919999,999919,3,11,0,2,1,438,2,2,2,2,0,4,2,1,1,7,2,6,2,1,1,0,0,1,0,0,4,0
4,0,999919,99919,991999,999919,2,13,0,2,1,1300,9,2,2,2,1,2,2,0,2,6,2,2,4,1,0,1,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1150,9,2,2,2,1,1,2,1,2,8,1,6,1,1,1,0,1,0,0,0,10,1
3,1,999919,99919,991999,999919,2,10,0,2,1,800,9,2,2,2,8,8,8,8,8,8,8,8,2,1,1,0,0,1,0,0,6,0
4,0,999919,99919,999991,999991,2,5,0,8,8,1400,9,2,2,2,8,8,8,8,8,5,8,8,2,1,0,0,0,0,0,0,2,0
3,0,999919,99919,991999,999919,2,11,0,2,1,2500,9,2,2,2,1,2,2,0,1,9,2,2,1,1,1,0,0,1,0,0,6,0
3,1,999919,99919,991999,999919,3,11,0,2,1,1400,9,2,2,2,1,2,2,1,2,10,2,4,4,1,1,0,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,8,8,1350,9,2,2,2,8,8,8,8,8,8,8,8,1,1,1,0,0,0,0,0,4,0
2,1,999919,99919,991999,999919,2,11,0,1,1,950,9,2,2,2,1,2,1,0,1,5,2,7,2,1,0,0,1,0,0,0,2,0
5,1,999919,99919,991999,999919,2,11,0,2,1,1090,9,2,2,2,1,1,2,1,2,8,2,4,1,1,1,0,0,0,1,0,10,1
1,1,999919,99919,999991,999919,2,10,0,2,1,1400,9,2,2,2,1,1,2,1,2,1,8,8,1,1,0,0,0,0,0,1,9,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1100,9,2,2,2,1,5,1,1,2,7,3,2,2,1,1,0,1,0,0,0,8,1
2,1,999919,99919,991999,999919,2,11,0,2,1,3000,9,2,2,2,1,5,2,1,2,1,3,3,1,1,0,0,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,11,0,2,1,1300,9,2,2,2,1,2,2,1,2,7,2,2,1,1,1,0,0,0,0,0,10,1
